Equipe,JO,Min,Pts,3P,2P,LL,RT,RO,RD,AS,ER,IA%,PTS,3PC,3PT,3P%,2PC,2PT,2P%,LLC,LLT,LL%,EN,BR,B/E,TO,FC,T/FC,ET,VI,EF
Brasília,1,0.00,104.00,12.00,62.00,30.00,29.00,10.00,19.00,17.00,8.00,2.13,104.00,4.00,16.00,25.00,31.00,46.00,67.39,30.00,36.00,83.33,0.00,6.00,0.75,7.00,24.00,0.29,8.00,0.00,122.00
Sesi Franca,1,0.00,98.00,21.00,52.00,25.00,34.00,14.00,20.00,27.00,11.00,2.45,98.00,7.00,18.00,38.89,26.00,49.00,53.06,25.00,27.00,92.59,0.00,12.00,1.09,2.00,22.00,0.09,11.00,0.00,126.00
Araraquara,1,0.00,90.00,27.00,44.00,19.00,31.00,3.00,28.00,22.00,12.00,1.83,90.00,9.00,27.00,33.33,22.00,34.00,64.71,19.00,20.00,95.00,1.00,10.00,0.83,6.00,22.00,0.27,12.00,0.00,116.00
Lajeado,1,0.00,86.00,18.00,44.00,24.00,28.00,8.00,20.00,5.00,9.00,0.56,86.00,6.00,20.00,30.00,22.00,38.00,57.89,24.00,34.00,70.59,0.00,15.00,1.67,0.00,24.00,0.00,9.00,0.00,85.00
Pinheiros,1,0.00,85.00,39.00,26.00,20.00,28.00,8.00,20.00,3.00,10.00,0.30,85.00,13.00,28.00,46.43,13.00,26.00,50.00,20.00,34.00,58.82,0.00,6.00,0.60,1.00,23.00,0.04,10.00,0.00,71.00
Limeira,1,0.00,85.00,30.00,40.00,15.00,29.00,4.00,25.00,17.00,11.00,1.55,85.00,10.00,24.00,41.67,20.00,44.00,45.45,15.00,23.00,65.22,3.00,17.00,1.55,4.00,21.00,0.19,11.00,0.00,95.00
Flamengo,1,0.00,84.00,21.00,44.00,19.00,31.00,9.00,22.00,12.00,10.00,1.20,84.00,7.00,25.00,28.00,22.00,40.00,55.00,19.00,22.00,86.36,2.00,10.00,1.00,4.00,18.00,0.22,10.00,0.00,92.00
Coop/São José Basketball,1,0.00,84.00,21.00,48.00,15.00,26.00,9.00,17.00,12.00,12.00,1.00,84.00,7.00,20.00,35.00,24.00,42.00,57.14,15.00,21.00,71.43,1.00,4.00,0.33,2.00,22.00,0.09,12.00,0.00,79.00
Assis,1,0.00,72.00,15.00,38.00,19.00,31.00,4.00,27.00,12.00,9.00,1.33,72.00,5.00,21.00,23.81,19.00,41.00,46.34,19.00,21.00,90.48,2.00,4.00,0.44,4.00,21.00,0.19,9.00,0.00,74.00
Saldanha,1,0.00,72.00,18.00,38.00,16.00,27.00,17.00,10.00,10.00,12.00,0.83,72.00,6.00,17.00,35.29,19.00,53.00,35.85,16.00,28.00,57.14,2.00,7.00,0.58,1.00,30.00,0.03,12.00,0.00,48.00
Minas,1,0.00,70.00,18.00,36.00,16.00,40.00,7.00,33.00,7.00,16.00,0.44,70.00,6.00,25.00,24.00,18.00,33.00,54.55,16.00,20.00,80.00,0.00,9.00,0.56,4.00,13.00,0.31,16.00,0.00,76.00
Joinville,1,0.00,67.00,24.00,28.00,15.00,35.00,14.00,21.00,16.00,9.00,1.78,67.00,8.00,27.00,29.63,14.00,33.00,42.42,15.00,26.00,57.69,3.00,10.00,1.11,2.00,17.00,0.12,9.00,0.00,72.00
Bauru Basket,1,0.00,57.00,12.00,34.00,11.00,28.00,6.00,22.00,7.00,18.00,0.39,57.00,4.00,21.00,19.05,17.00,41.00,41.46,11.00,11.00,100.00,1.00,9.00,0.50,0.00,17.00,0.00,18.00,0.00,42.00
Paulistano,1,0.00,48.00,12.00,24.00,12.00,31.00,6.00,25.00,4.00,23.00,0.17,48.00,4.00,19.00,21.05,12.00,30.00,40.00,12.00,16.00,75.00,1.00,5.00,0.22,2.00,19.00,0.11,23.00,0.00,30.00
