Equipe,JO,Min,Pts,3P,2P,LL,RT,RO,RD,AS,ER,IA%,PTS,3PC,3PT,3P%,2PC,2PT,2P%,LLC,LLT,LL%,EN,BR,B/E,TO,FC,T/FC,ET,VI,EF
Flamengo,1,0.00,110.00,27.00,64.00,19.00,40.00,12.00,28.00,21.00,13.00,1.62,110.00,9.00,22.00,40.91,32.00,48.00,66.67,19.00,23.00,82.61,5.00,10.00,0.77,2.00,16.00,0.13,13.00,0.00,137.00
Minas,1,0.00,110.00,30.00,64.00,16.00,34.00,14.00,20.00,23.00,17.00,1.35,110.00,10.00,23.00,43.48,32.00,41.00,78.05,16.00,23.00,69.57,2.00,8.00,0.47,6.00,19.00,0.32,17.00,0.00,135.00
Bauru Basket,1,0.00,92.00,21.00,52.00,19.00,32.00,5.00,27.00,21.00,6.00,3.50,92.00,7.00,20.00,35.00,26.00,39.00,66.67,19.00,26.00,73.08,5.00,7.00,1.17,3.00,22.00,0.14,6.00,0.00,116.00
Joinville,1,0.00,89.00,39.00,42.00,8.00,28.00,17.00,11.00,16.00,15.00,1.07,89.00,13.00,32.00,40.63,21.00,39.00,53.85,8.00,14.00,57.14,0.00,6.00,0.40,3.00,18.00,0.17,15.00,0.00,84.00
Limeira,1,0.00,88.00,24.00,38.00,26.00,38.00,9.00,29.00,11.00,14.00,0.79,88.00,8.00,27.00,29.63,19.00,45.00,42.22,26.00,35.00,74.29,1.00,16.00,1.14,4.00,20.00,0.20,14.00,0.00,89.00
Brasília,1,0.00,85.00,27.00,48.00,10.00,47.00,11.00,36.00,14.00,22.00,0.64,85.00,9.00,28.00,32.14,24.00,43.00,55.81,10.00,17.00,58.82,1.00,5.00,0.23,2.00,29.00,0.07,22.00,0.00,86.00
Pinheiros,1,0.00,83.00,24.00,30.00,29.00,37.00,9.00,28.00,14.00,17.00,0.82,83.00,8.00,24.00,33.33,15.00,32.00,46.88,29.00,39.00,74.36,0.00,5.00,0.29,2.00,17.00,0.12,17.00,0.00,81.00
Assis,1,0.00,81.00,18.00,48.00,15.00,27.00,11.00,16.00,12.00,11.00,1.09,81.00,6.00,14.00,42.86,24.00,38.00,63.16,15.00,27.00,55.56,3.00,11.00,1.00,4.00,16.00,0.25,11.00,0.00,90.00
Araraquara,1,0.00,79.00,42.00,30.00,7.00,26.00,9.00,17.00,14.00,14.00,1.00,79.00,14.00,28.00,50.00,15.00,28.00,53.57,7.00,10.00,70.00,1.00,6.00,0.43,3.00,22.00,0.14,14.00,0.00,84.00
Paulistano,1,0.00,78.00,18.00,46.00,14.00,38.00,10.00,28.00,17.00,13.00,1.31,78.00,6.00,20.00,30.00,23.00,41.00,56.10,14.00,24.00,58.33,1.00,5.00,0.38,5.00,28.00,0.18,13.00,0.00,88.00
Sesi Franca,1,0.00,76.00,12.00,50.00,14.00,30.00,9.00,21.00,7.00,10.00,0.70,76.00,4.00,15.00,26.67,25.00,49.00,51.02,14.00,18.00,77.78,0.00,4.00,0.40,0.00,24.00,0.00,10.00,0.00,68.00
Saldanha,1,0.00,75.00,21.00,44.00,10.00,25.00,5.00,20.00,16.00,15.00,1.07,75.00,7.00,20.00,35.00,22.00,44.00,50.00,10.00,13.00,76.92,2.00,11.00,0.73,4.00,27.00,0.15,15.00,0.00,78.00
Lajeado,1,0.00,69.00,27.00,30.00,12.00,25.00,8.00,17.00,13.00,16.00,0.81,69.00,9.00,28.00,32.14,15.00,38.00,39.47,12.00,20.00,60.00,0.00,7.00,0.44,1.00,23.00,0.04,16.00,0.00,49.00
Espírito Santo,1,0.00,67.00,9.00,40.00,18.00,31.00,7.00,24.00,13.00,13.00,1.00,67.00,3.00,19.00,15.79,20.00,39.00,51.28,18.00,30.00,60.00,1.00,8.00,0.62,2.00,20.00,0.10,13.00,0.00,61.00
