Equipe,JO,Min,Pts,3P,2P,LL,RT,RO,RD,AS,ER,IA%,PTS,3PC,3PT,3P%,2PC,2PT,2P%,LLC,LLT,LL%,EN,BR,B/E,TO,FC,T/FC,ET,VI,EF
Flamengo,1,0.00,95.00,33.00,46.00,16.00,41.00,15.00,26.00,20.00,8.00,2.50,95.00,11.00,29.00,37.93,23.00,47.00,48.94,16.00,21.00,76.19,3.00,11.00,1.38,1.00,21.00,0.05,8.00,0.00,113.00
Minas,1,0.00,88.00,33.00,44.00,11.00,37.00,12.00,25.00,21.00,14.00,1.50,88.00,11.00,31.00,35.48,22.00,39.00,56.41,11.00,16.00,68.75,3.00,3.00,0.21,0.00,23.00,0.00,14.00,1.00,93.00
Sesi Franca,1,0.00,88.00,30.00,40.00,18.00,35.00,11.00,24.00,17.00,14.00,1.21,88.00,10.00,25.00,40.00,20.00,36.00,55.56,18.00,20.00,90.00,1.00,7.00,0.50,3.00,17.00,0.18,14.00,1.00,103.00
Corinthians,2,0.00,86.00,27.00,42.00,17.00,31.00,7.00,24.00,13.00,14.00,0.93,86.00,9.00,22.50,40.00,21.00,37.50,56.00,17.00,22.00,77.27,1.00,9.00,0.64,0.50,25.00,0.02,14.00,1.50,90.50
Paulistano,2,0.00,86.00,31.50,38.00,16.50,37.00,10.50,26.50,15.50,15.50,1.00,86.00,10.50,29.50,35.59,19.00,34.50,55.07,16.50,23.00,71.74,3.00,5.50,0.35,2.50,21.50,0.12,15.50,3.00,90.00
BRB/Brasília,1,0.00,84.00,27.00,38.00,19.00,38.00,9.00,29.00,11.00,17.00,0.65,84.00,9.00,26.00,34.62,19.00,32.00,59.38,19.00,27.00,70.37,0.00,7.00,0.41,0.00,24.00,0.00,17.00,2.00,85.00
Coop/São José Basketball,1,0.00,79.00,36.00,28.00,15.00,39.00,14.00,25.00,23.00,17.00,1.35,79.00,12.00,26.00,46.15,14.00,33.00,42.42,15.00,16.00,93.75,2.00,4.00,0.24,1.00,18.00,0.06,17.00,2.00,95.00
Fortaleza B. C. / CFO,1,0.00,77.00,18.00,46.00,13.00,26.00,6.00,20.00,11.00,18.00,0.61,77.00,6.00,20.00,30.00,23.00,34.00,67.65,13.00,20.00,65.00,0.00,10.00,0.56,1.00,20.00,0.05,18.00,6.00,74.00
Botafogo,1,0.00,72.00,18.00,46.00,8.00,27.00,8.00,19.00,18.00,14.00,1.29,72.00,6.00,25.00,24.00,23.00,36.00,63.89,8.00,11.00,72.73,2.00,7.00,0.50,0.00,22.00,0.00,14.00,6.00,75.00
Bauru Basket,1,0.00,71.00,21.00,40.00,10.00,29.00,10.00,19.00,14.00,16.00,0.88,71.00,7.00,21.00,33.33,20.00,39.00,51.28,10.00,13.00,76.92,0.00,6.00,0.38,0.00,24.00,0.00,16.00,4.00,68.00
