Data,Equipe_Casa,Pontos_Casa,Pontos_Visitante,Equipe_Visitante,Rodada,Etapa
28/01/2009,Espírito Santo,77, 56,Araraquara,1ª RODADA,1º TURNO
28/01/2009,Brasília,88, 75,Assis,1ª RODADA,1º TURNO
28/01/2009,Pinheiros,89, 90,Flamengo,1ª RODADA,1º TURNO
28/01/2009,Paulistano,82, 76,Minas,1ª RODADA,1º TURNO
28/01/2009,São José,73, 68,Lajeado,1ª RODADA,1º TURNO
28/01/2009,Limeira,93, 88,Joinville,1ª RODADA,1º TURNO
28/01/2009,Saldanha,79, 80,Franca,1ª RODADA,1º TURNO
30/01/2009,Brasília,76, 65,Bauru,2ª RODADA,1º TURNO
30/01/2009,Pinheiros,80, 81,Minas,2ª RODADA,1º TURNO
30/01/2009,Paulistano,87, 96,Flamengo,2ª RODADA,1º TURNO
30/01/2009,São José,91, 109,Joinville,2ª RODADA,1º TURNO
30/01/2009,Limeira,75, 72,Lajeado,2ª RODADA,1º TURNO
30/01/2009,Saldanha,84, 72,Araraquara,2ª RODADA,1º TURNO
31/01/2009,Espírito Santo,74, 83,Franca,2ª RODADA,1º TURNO
03/02/2009,Pinheiros,82, 65,Paulistano,3ª RODADA,1º TURNO
03/02/2009,São José,83, 73,Limeira,3ª RODADA,1º TURNO
03/02/2009,Saldanha,63, 74,Espírito Santo,3ª RODADA,1º TURNO
03/02/2009,Araraquara,82, 87,Franca,3ª RODADA,1º TURNO
03/02/2009,Joinville,78, 56,Lajeado,3ª RODADA,1º TURNO
03/02/2009,Minas,85, 102,Flamengo,3ª RODADA,1º TURNO
03/02/2009,Assis,78, 77,Bauru,3ª RODADA,1º TURNO
11/02/2009,Joinville,70, 65,Espírito Santo,4ª RODADA,1º TURNO
11/02/2009,Lajeado,77, 80,Saldanha,4ª RODADA,1º TURNO
11/02/2009,Limeira,79, 85,Minas,4ª RODADA,1º TURNO
11/02/2009,São José,72, 90,Flamengo,4ª RODADA,1º TURNO
11/02/2009,Assis,68, 73,Paulistano,4ª RODADA,1º TURNO
11/02/2009,Bauru,88, 82,Pinheiros,4ª RODADA,1º TURNO
12/02/2009,Araraquara,77, 64,Brasília,4ª RODADA,1º TURNO
13/02/2009,Franca,59, 66,Brasília,5ª RODADA,1º TURNO
13/02/2009,Joinville,93, 50,Saldanha,5ª RODADA,1º TURNO
13/02/2009,Lajeado,84, 93,Espírito Santo,5ª RODADA,1º TURNO
13/02/2009,Limeira,108, 101,Flamengo,5ª RODADA,1º TURNO
13/02/2009,São José,88, 89,Minas,5ª RODADA,1º TURNO
13/02/2009,Assis,87, 77,Pinheiros,5ª RODADA,1º TURNO
13/02/2009,Bauru,88, 72,Paulistano,5ª RODADA,1º TURNO
18/02/2009,Minas,70, 57,Bauru,6ª RODADA,1º TURNO
18/02/2009,Brasília,104, 72,Saldanha,6ª RODADA,1º TURNO
18/02/2009,Araraquara,90, 85,Limeira,6ª RODADA,1º TURNO
18/02/2009,Franca,91, 84,São José,6ª RODADA,1º TURNO
18/02/2009,Joinville,67, 48,Paulistano,6ª RODADA,1º TURNO
18/02/2009,Lajeado,86, 85,Pinheiros,6ª RODADA,1º TURNO
20/02/2009,Franca,86, 84,Limeira,7ª RODADA,1º TURNO
20/02/2009,Brasília,103, 78,Espírito Santo,7ª RODADA,1º TURNO
20/02/2009,Araraquara,72, 71,São José,7ª RODADA,1º TURNO
20/02/2009,Lajeado,90, 72,Paulistano,7ª RODADA,1º TURNO
20/02/2009,Minas,94, 84,Assis,7ª RODADA,1º TURNO
21/02/2009,Joinville,89, 72,Pinheiros,7ª RODADA,1º TURNO
23/02/2009,Paulistano,76, 65,Saldanha,8ª RODADA,1º TURNO
24/02/2009,Bauru,72, 80,Araraquara,8ª RODADA,1º TURNO
25/02/2009,São José,84, 91,Brasília,8ª RODADA,1º TURNO
25/02/2009,Pinheiros,101, 84,Espírito Santo,8ª RODADA,1º TURNO
25/02/2009,Assis,83, 80,Franca,8ª RODADA,1º TURNO
