Data,Equipe_Casa,Pontos_Casa,Pontos_Visitante,Equipe_Visitante,Rodada,Etapa
01/11/2009,Pinheiros,92,98,Brasília,1,1
01/11/2009,Franca,74,63,Assis,1,1
01/11/2009,Paulistano,85,88,Minas,1,1
01/11/2009,Flamengo,99,70,Espírito Santo,1,1
01/11/2009,Joinville,108,76,Londrina,1,1
01/11/2009,São José,84,72,Saldanha,1,1
01/11/2009,Araraquara,76,69,Bauru,1,1
02/11/2009,Paulistano,67,75,Brasília,2,1
06/11/2009,Flamengo,109,72,Saldanha,2,1
08/11/2009,Franca,88,69,Bauru,2,1
08/11/2009,Pinheiros,78,70,Minas,2,1
08/11/2009,São José,94,70,Espírito Santo,2,1
08/11/2009,Araraquara,64,66,Assis,2,1
15/11/2009,Joinville,72,69,Flamengo,3,1
15/11/2009,Bauru,88,64,Assis,3,1
15/11/2009,Saldanha,75,76,Pinheiros,3,1
15/11/2009,Londrina,69,67,São José,3,1
15/11/2009,Brasília,88,80,Franca,3,1
15/11/2009,Espírito Santo,54,52,Paulistano,3,1
20/11/2009,Londrina,86,84,Flamengo,4,1
22/11/2009,Minas,101,106,Franca,4,1
22/11/2009,Joinville,71,60,São José,4,1
22/11/2009,Saldanha,74,71,Paulistano,4,1
22/11/2009,Brasília,96,75,Araraquara,4,1
22/11/2009,Espírito Santo,81,76,Pinheiros,4,1
27/11/2009,Assis,73,81,Minas,5,1
27/11/2009,Bauru,75,81,Brasília,5,1
27/11/2009,Pinheiros,84,81,Londrina,5,1
27/11/2009,Araraquara,67,69,Espírito Santo,5,1
27/11/2009,Franca,95,81,Saldanha,5,1
27/11/2009,São José,61,85,Flamengo,5,1
29/11/2009,Paulistano,62,60,Londrina,6,1
29/11/2009,Assis,84,91,Brasília,6,1
29/11/2009,Pinheiros,88,91,Joinville,6,1
29/11/2009,Franca,71,75,Espírito Santo,6,1
29/11/2009,Bauru,78,83,Minas,6,1
29/11/2009,Araraquara,81,65,Saldanha,6,1
01/12/2009,Paulistano,85,73,Joinville,5,1
06/12/2009,São José,81,64,Paulistano,7,1
06/12/2009,Saldanha,68,66,Bauru,7,1
06/12/2009,Joinville,67,61,Araraquara,7,1
06/12/2009,Espírito Santo,66,67,Assis,7,1
06/12/2009,Londrina,90,94,Franca,7,1
06/12/2009,Flamengo,82,77,Pinheiros,7,1
08/12/2009,Saldanha,71,91,Assis,8,1
08/12/2009,Espírito Santo,69,67,Bauru,8,1
12/12/2009,Minas,89,91,Brasília,7,1
14/12/2009,Londrina,83,98,Brasília,12,1
17/12/2009,Joinville,99,74,Brasília,11,1
08/01/2010,Londrina,82,78,Araraquara,8,1
15/01/2010,Bauru,85,74,Londrina,9,1
15/01/2010,Franca,72,71,Flamengo,9,1
15/01/2010,Pinheiros,104,85,Paulistano,9,1
15/01/2010,Minas,102,85,Saldanha,9,1
15/01/2010,Araraquara,80,56,São José,9,1
15/01/2010,Brasília,88,75,Espírito Santo,9,1
17/01/2010,Brasília,96,85,Saldanha,10,1
17/01/2010,Araraquara,72,74,Flamengo,10,1
17/01/2010,Minas,105,80,Espírito Santo,10,1
17/01/2010,Assis,88,93,Londrina,10,1
18/01/2010,Bauru,79,76,Joinville,10,1
19/01/2010,Minas,91,85,Araraquara,3,1
20/01/2010,Assis,92,90,Joinville,9,1
22/01/2010,Pinheiros,93,84,Araraquara,11,1
22/01/2010,Espírito Santo,76,60,Saldanha,11,1
22/01/2010,Londrina,78,87,Minas,11,1
22/01/2010,Flamengo,107,90,Bauru,11,1
24/01/2010,Pinheiros,98,95,Franca,12,1
24/01/2010,Flamengo,104,74,Assis,12,1
24/01/2010,Joinville,67,84,Minas,12,1
26/01/2010,Joinville,65,63,Franca,8,1
29/01/2010,Franca,94,83,Araraquara,13,1
29/01/2010,Espírito Santo,77,68,Londrina,13,1
29/01/2010,Saldanha,63,82,Joinville,13,1
29/01/2010,Brasília,85,64,São José,13,1
29/01/2010,Bauru,106,73,Paulistano,13,1
29/01/2010,Assis,94,92,Pinheiros,13,1
29/01/2010,Minas,94,101,Flamengo,13,1
31/01/2010,Minas,89,86,São José,14,1
31/01/2010,Assis,83,85,Paulistano,14,1
31/01/2010,Saldanha,64,68,Londrina,14,1
31/01/2010,Bauru,103,83,Pinheiros,14,1
31/01/2010,Espírito Santo,70,81,Joinville,14,1
31/01/2010,Flamengo,73,81,Brasília,14,1
02/02/2010,Flamengo,105,70,Paulistano,8,1
05/02/2010,Espírito Santo,79,100,Flamengo,1,2
05/02/2010,Minas,91,84,Paulistano,1,2
05/02/2010,Assis,65,72,Franca,1,2
05/02/2010,Bauru,63,59,Araraquara,1,2
